Epoch: [33][0/97], lr: 0.01000	Time 10.667 (10.667)	Data 9.646 (9.646)	Loss 2.7583 (2.7583)	Prec@1 88.281 (88.281)	Prec@5 95.312 (95.312)
Epoch: [34][0/97], lr: 0.01000	Time 10.781 (10.781)	Data 10.001 (10.001)	Loss 2.7016 (2.7016)	Prec@1 91.406 (91.406)	Prec@5 97.656 (97.656)
Epoch: [35][0/97], lr: 0.01000	Time 10.536 (10.536)	Data 9.698 (9.698)	Loss 2.6194 (2.6194)	Prec@1 91.406 (91.406)	Prec@5 98.438 (98.438)
Epoch: [36][0/97], lr: 0.01000	Time 10.701 (10.701)	Data 9.893 (9.893)	Loss 2.5833 (2.5833)	Prec@1 95.312 (95.312)	Prec@5 99.219 (99.219)
Epoch: [37][0/97], lr: 0.01000	Time 10.643 (10.643)	Data 9.675 (9.675)	Loss 2.6767 (2.6767)	Prec@1 92.188 (92.188)	Prec@5 98.438 (98.438)
Epoch: [38][0/97], lr: 0.01000	Time 10.712 (10.712)	Data 9.808 (9.808)	Loss 2.6440 (2.6440)	Prec@1 92.188 (92.188)	Prec@5 97.656 (97.656)
Epoch: [39][0/97], lr: 0.01000	Time 10.646 (10.646)	Data 9.863 (9.863)	Loss 2.6373 (2.6373)	Prec@1 93.750 (93.750)	Prec@5 98.438 (98.438)
Epoch: [40][0/97], lr: 0.01000	Time 10.362 (10.362)	Data 9.594 (9.594)	Loss 2.6263 (2.6263)	Prec@1 91.406 (91.406)	Prec@5 96.875 (96.875)
Epoch: [41][0/97], lr: 0.01000	Time 10.626 (10.626)	Data 9.849 (9.849)	Loss 2.7398 (2.7398)	Prec@1 89.062 (89.062)	Prec@5 96.094 (96.094)
Epoch: [42][0/97], lr: 0.01000	Time 10.438 (10.438)	Data 9.667 (9.667)	Loss 2.5984 (2.5984)	Prec@1 92.188 (92.188)	Prec@5 98.438 (98.438)
Epoch: [43][0/97], lr: 0.01000	Time 10.521 (10.521)	Data 9.688 (9.688)	Loss 2.5186 (2.5186)	Prec@1 96.094 (96.094)	Prec@5 99.219 (99.219)
Epoch: [44][0/97], lr: 0.01000	Time 11.025 (11.025)	Data 10.010 (10.010)	Loss 2.6037 (2.6037)	Prec@1 94.531 (94.531)	Prec@5 96.094 (96.094)
